cluster_id,cluster_basis,address,region,canonical_outlet_code,canonical_id,canonical_name,canonical_sales_count,canonical_amount_total,defunct_outlet_code,defunct_id,defunct_name,defunct_sales_count,defunct_amount_total,defunct_kiosks_count,notes
1,address,"Hotel Berlin, Berlin, a member of Radisson Individuals, Lützowplatz, Berlin, Germany",Germany,W3,b0c62ed2-154e-4c88-aa1e-74be0ffb2f20,"Hotel Berlin, Berlin",0,0,,,,0,0,,
1,address,"Hotel Berlin, Berlin, a member of Radisson Individuals, Lützowplatz, Berlin, Germany",Germany,W3,b0c62ed2-154e-4c88-aa1e-74be0ffb2f20,"Hotel Berlin, Berlin",0,0,W4,fd661517-5ea0-4e35-9fa4-74b6d017478e,"Hotel Berlin, Berlin",0,0,1,
2,address,"London Heathrow Marriott Hotel, Airport, Harlington, Hayes, UK",Spain,S5,01a44f94-fb73-4034-aedd-067d0a2d7895,NH Eurobuilding,0,0,,,,0,0,,different normalised name across cluster
2,address,"London Heathrow Marriott Hotel, Airport, Harlington, Hayes, UK",Spain,S5,01a44f94-fb73-4034-aedd-067d0a2d7895,NH Eurobuilding,0,0,S6,4d1ab4c5-7b20-45a7-9bde-1d555f519c6a,Spark by Hilton,0,0,2,
3,address,"Radisson Blu Edwardian Heathrow Hotel & Conference Centre, London, Bath Road, Harlington, Hayes, UK",Spain,9S,39afdf84-1d10-4dd0-99bd-c832e0d90b9e,Melia Barajas,0,0,,,,0,0,,different normalised name across cluster
3,address,"Radisson Blu Edwardian Heathrow Hotel & Conference Centre, London, Bath Road, Harlington, Hayes, UK",Spain,9S,39afdf84-1d10-4dd0-99bd-c832e0d90b9e,Melia Barajas,0,0,S9,8c4f153f-6d02-41f3-9318-9419f9401ca5,IBIS Budget Madrid Aeropuerto,0,0,2,
4,address,"4 Cathedral Walk, Gloucester GL1 1SZ",United Kingdom,KI,a3edb17e-a641-48c5-ab60-618e61c18abc,Hotel Indigo® Gloucester- The Forum - 2 KIOSKS,0,0,,,,0,0,,
4,address,"4 Cathedral Walk, Gloucester GL1 1SZ",United Kingdom,KI,a3edb17e-a641-48c5-ab60-618e61c18abc,Hotel Indigo® Gloucester- The Forum - 2 KIOSKS,0,0,KJ,06316503-fdce-4fe8-b541-c9bfe5dc227a,Hotel Indigo® Gloucester- The Forum - 2 KIOSKS,0,0,1,
5,address,"58 Shepherd's Bush Grn, London W12 8QE, UK",United Kingdom,1V,ae73a63b-ba22-498a-94ca-d6d916532d25,Dorsett London Shepherds Bush SSM,74,1470.96,,,,0,0,,
5,address,"58 Shepherd's Bush Grn, London W12 8QE, UK",United Kingdom,1V,ae73a63b-ba22-498a-94ca-d6d916532d25,Dorsett London Shepherds Bush SSM,74,1470.96,2V,c42c03a1-6465-4d82-b96e-d89fa8743bd4,Dorsett London Shepherds Bush SSM,64,1298.42,1,
6,address,"ACC Liverpool, Kings Dock Street, Liverpool, UK",United Kingdom,KB,7688ad96-b738-46d3-a04c-c94a67963bad,ACC Liverpool,28,157.43,,,,0,0,,
6,address,"ACC Liverpool, Kings Dock Street, Liverpool, UK",United Kingdom,KB,7688ad96-b738-46d3-a04c-c94a67963bad,ACC Liverpool,28,157.43,KA,765dddf1-d0e2-4546-9f36-24f872fd8b01,ACC Liverpool,4,15.67,2,
7,address,"Courtyard by Marriott London Heathrow Airport, Nobel Drive, Harlington, Hayes, UK",United Kingdom,K7,fd46f8e1-c741-46f3-ab3b-0c42011153f9,Courtyard by Marriott SSM,132,1458.24,,,,0,0,,
7,address,"Courtyard by Marriott London Heathrow Airport, Nobel Drive, Harlington, Hayes, UK",United Kingdom,K7,fd46f8e1-c741-46f3-ab3b-0c42011153f9,Courtyard by Marriott SSM,132,1458.24,7K,276dcaa3-c1a0-46df-9b3a-98bed38642c6,Courtyard by Marriott SSM,97,1001.03,2,
8,address,"Holiday Inn London - Heathrow Bath Road by IHG, Bath Road, Sipson, West Drayton, UK",United Kingdom,0P,bbbc7c80-c291-4067-8e9d-ccd89f8921d9,Holiday Inn London - Heathrow Bath Road,258,2844.03,,,,0,0,,
8,address,"Holiday Inn London - Heathrow Bath Road by IHG, Bath Road, Sipson, West Drayton, UK",United Kingdom,0P,bbbc7c80-c291-4067-8e9d-ccd89f8921d9,Holiday Inn London - Heathrow Bath Road,258,2844.03,S8,1cec49f0-a771-406e-ad94-e3259e00ab62,Holiday Inn London - Heathrow Bath Road,222,2818.63,2,
